"","baker","last_name","series","baker_age","baker_occupation","hometown","episode","signature_bake","show_stopper","technical","result"
"1","Ali","Imdad",4,25,"Charity worker","Saltley, Birmingham",1,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",11,"IN"
"2","Ali","Imdad",4,25,"Charity worker","Saltley, Birmingham",2,"Italian Grissini","Sweet and Savoury Yin Yang Bread",9,"IN"
"3","Ali","Imdad",4,25,"Charity worker","Saltley, Birmingham",3,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",5,"IN"
"4","Ali","Imdad",4,25,"Charity worker","Saltley, Birmingham",4,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",8,"OUT"
"5","Alice","Fevronia",10,28,"Geography teacher","Essex",NA,NA,NA,NA,NA
"6","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",1,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",2,"IN"
"7","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",2,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,"IN"
"8","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",3,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",4,"IN"
"9","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",4,"Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",9,"IN"
"10","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",5,"Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8,"IN"
"11","Alvin","Magallanes",6,37,"Nurse","Bracknell, Berkshire",6,"Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,"OUT"
"12","Amelia","LeBruin",10,24,"Fashion designer","Halifax",NA,NA,NA,NA,NA
"13","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",1,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",12,"IN"
"14","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",2,"Beehive Biscuits","Punting in Cambridge",4,"IN"
"15","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",3,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket",2,"IN"
"16","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",4,"Yorkshire 'Tapas' Puddings","Churros Window Box",4,"IN"
"17","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",5,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",6,"IN"
"18","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",6,"IN"
"19","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",7,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes",1,"STAR BAKER"
"20","Andrew","Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down",8,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane",2,"IN"
